name,lat,long
Yotsuhama,33.41604,132.19325
Tahara-mura,35.45,136.93333
Tatsuno-shi,34.888040000000004,134.5191
Shimo-funaka-mura,35.28333,139.16666999999998
Shingu,33.73333,135.98333
Nioji Dake,37.90103,139.49979
Naha Air Base,26.197960000000002,127.6457
Naegi-cho,35.51667,137.48333
Mimitsu,32.33333,131.6
Kuju-san,33.11667,131.23333
Kazashi Yama,33.92436,130.95468
Katayamazu,36.34202,136.36754
Kadena Air Base,26.35,127.76666999999999
Gonotao,34.9,133.01667
Gizu Zaki,26.20257,127.37371999999999
Futenma Marine Corps Air Station,26.273640000000004,127.75785
Ukishimaga Hara,35.146679999999996,138.7518
Eino Shima,33.20476,129.59939
Gono-kawa,35.03333,132.21667
Atsugi,35.44272,139.36931
Ara-kawa,37.18333,138.25
Akiaga-eki,34.235409999999995,132.60073
Akashi,34.65524,135.00687
Shutendoji Yama,33.096340000000005,130.9103
Zushi,35.29483,139.57811999999998
Zungiri-zaki,32.83333,129.05
Zukeran,26.30857,127.78036999999999
Zuibaiji Gawa,33.59531,130.26542
Zozo Seto,32.578590000000005,130.48473
Zozo Bana,37.39951,136.84355
Zozo,32.575590000000005,130.47958
Zo Zan,36.55554,138.19515
Zo-yama,35.351009999999995,133.59322
Zoshuku,33.206590000000006,129.85153
Sagono-seto,33.85833,132.06667
Awazucho,34.97793,135.90152
Zeze-eki,34.99913,135.8809
Zeze,34.99599,135.88787
Zentsuji Shi,34.225809999999996,133.77692
Zentsujicho,34.22699,133.77791000000002
Nagano Bonchi,36.66667,138.33333000000002
Ikawadanicho-zenkai,34.696329999999996,135.05655
Zenjimori-yama,33.58333,135.55
Zenitsubo Yama,34.010940000000005,132.19668000000001
Zeni-su,33.93333,138.83333000000002
Zengi,34.35907,135.7921
Zenigame Zaki,33.73796,129.7642
Zenda Gawa,26.3234,126.80451000000001
Zenda,26.3254,126.80088
Zeidani,32.65,130.2
Zazare,32.828720000000004,128.8483
Zaruga-dake,35.41667,138.26667
Zaomachi,37.45,138.85
Zano-shima,33.55,135.91666999999998
Zanpa Misaki,26.439790000000002,127.71422
Zama Shi,35.48752,139.40925
Zamami Son,26.20058,127.28398999999999
Zamami Jima,26.236459999999997,127.30572
Zamami,26.22417,127.30111000000001
Azumacho-zama,36.53333,139.36667
Zama,35.4879,139.39101000000002
Zakimi,26.40555,127.75176
Zaisho-mura,33.7,133.81667
Zaisho,25.83158,131.23039
Kamitakaracho-zaike,36.28333,137.36667
Zahana,26.16667,127.66667
Zaha,26.14241,127.69209
Zagashira-sone,32.98333,129.55
Yuzuruha San,34.23558,134.81458
Yuzuriha,34.37245,133.94165
Yuzawa-yama,35.97905,137.96313
Yuzawa,36.93804,138.81331
Yuza,39.01573,139.92909
Yuya Wan,34.38194,130.96861
Yuyama,35.18333,138.1
Amagasemachi-yuyama,33.2593,131.02534
Yuwan Dake,28.29595,129.32144
Yuwan,28.28333,129.3
Yutorino,32.28075,130.84541000000002
Yuto-cho,34.71667,137.63333
Yutamaminami,34.209140000000005,130.93152
Yutaka-mura,35.31667,137.73333
Yusuhara-gawa,33.2,132.96667
Yusuhara,33.38333,132.91666999999998
Yushima-seto,32.61667,130.3
Yushima-mura,32.59968,130.34069
Yu Shima,32.60289,130.33743
Den Shima,30.750629999999997,130.10181
Yurugi-san,32.85538,131.33256
Yurugi,32.98333,129.73333
Yuri-jima,33.85071,132.53108
Yura-wan,33.89835,132.68652
Yura Shima,31.7431,129.75516000000002
Yura Seto,34.28333,134.96667
Yurano-hana,33.02293,132.37929
Yurakucho,35.67494,139.76193
Yura Ko,34.28333,134.95
Yura-ko,33.95926,135.10608
Yura-kawa,35.5,133.76667
